Component, GAV, License, URL, Scope, Path
Atlassian Trusted Apps Core,com.atlassian.security.auth.trustedapps:atlassian-trusted-apps-core:jar:3.0.8,BSD License,http://www.atlassian.com/public-pom/atlassian-trusted-apps/atlassian-trusted-apps-core,binary,
Atlassian UI Plugin SPI,com.atlassian.aui:auiplugin-spi:jar:5.6.7-jira-1,Apache License Version 2.0,https://bitbucket.org/atlassian/aui/auiplugin-spi,binary,
Atlassian UI Plugin,com.atlassian.aui:auiplugin:atlassian-plugin:5.1-m1,Apache License 2.0,https://developer.atlassian.com/display/AUI/License,binary,com.atlassian.jira:mobile:1.7/META-INF/maven/com.atlassian.aui/auiplugin
Atlassian UI Plugin,com.atlassian.aui:auiplugin:atlassian-plugin:5.6.7-jira-1,Apache License Version 2.0,https://bitbucket.org/atlassian/aui,binary,
Atlassian Velocity,com.atlassian.velocity:atlassian-velocity:jar:1.3,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Vendor Patch of Webwork 1,opensymphony:webwork:jar:1.4-atlassian-30,The OpenSymphony Software License -  Version 1.1,,binary,
Atlassian Voorhees,com.atlassian.voorhees:atlassian-voorhees:jar:1.0.4,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Wallboard plugin,com.atlassian.jirawallboard:atlassian-wallboard-plugin:atlassian-plugin:1.8.11,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-wallboard-plugin,binary,
Atlassian WebHooks Plugin's Provider API,com.atlassian.webhooks:atlassian-webhooks-api:jar:0.17.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Atlassian WebHooks Plugin's Provider SPI,com.atlassian.webhooks:atlassian-webhooks-provider-spi:jar:0.17.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Atlassian WebHooks Plugin's SPI,com.atlassian.webhooks:atlassian-webhooks-spi:jar:0.17.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Atlassian WebHooks Plugin,com.atlassian.webhooks:atlassian-webhooks-plugin:atlassian-plugin:0.17.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
atlassian-bandana,atlassian-bandana:atlassian-bandana:jar:0.1.13,BSD License,,binary,
atlassian-flushable-gzipoutputstream,com.atlassian.gzipfilter:atlassian-flushable-gzipoutputstream:jar:1.1,BSD License,http://opensource.org/licenses/BSD-3-Clause,binary,
atlassian-html-encoder,com.atlassian.html:atlassian-html-encoder:jar:1.4,BSD License,http://opensource.org/licenses/BSD-3-Clause,binary,
atlassian-image-consumer,com.atlassian.image:atlassian-image-consumer:jar:1.0.1,GNU Lesser General Public License 2.1,http://www.gnu.org/licenses/lgpl-2.1.txt,binary,
AWS SDK for Java,com.amazonaws:aws-java-sdk:jar:1.8.9,Apache License 2.0,https://github.com/aws/aws-sdk-java/blob/master/LICENSE.txt,binary,com.atlassian.analytics:analytics-client-s3:3.53/META-INF/maven/com.amazonaws/aws-java-sdk
Axis Web Services,axis:axis:jar:1.3-atlassian-1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
axis-jaxrpc,axis:axis-jaxrpc:jar:1.3,Apache License 2.0,,binary,
axis-saaj,axis:axis-saaj:jar:1.3,Apache License 2.0,,binary,
